Unnamed: 0,Premise,Conclusion,Stance,XLNetLargePredictions,SBERTPredictions,BERTLargePredictions
117,"the vow of celibacy removes sexual activity with a view to focusing on a larger purpose - it can be seen as training the mind, and allows otherwise unforeseen advances of thought and discourse.",the vow of celibacy should be abandoned.,against,against,in favour of,in favour of
118,these companies take advantage of needy people with outrageous fees.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
119,"if one does not believe that the holocaust occurred, then that is there right to practice freedom of speech as defined in the constitution.",holocaust denial should be a criminal offence.,against,against,against,against
120,stopping immigration as an excuse to not adopt proper anticonsumerist and industry-regulating policies will not solve anything for the environment and will only increase interethnic and interracial tensions.,we should reduce environment pollution by limiting number of people in europe.,against,against,in favour of,against
121,television only serves as a platform for multinationals to spread their lies.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
122,"the vow of celibacy, and those who choose to make that vow, should be respected. it should be a matter of individual choice for the individual.",the vow of celibacy should be abandoned.,against,against,against,against
123,public defenders are not always available and not really engaged for the defense of the accused. they seem to not gain real profit from the cases.,the use of public defenders should be mandatory.,against,against,in favour of,against
124,homeopathy is a natural way of providing cure or relief.,homeopathy brings more harm than good.,against,against,against,against
125,"fossil-sourced natural gas is as harmful as coal or oil. if it is sourced from fossil fuels, natural gas produces a net increase in co2 in the atmosphere when burned.",we should stop subsidies and other incentives for bioenergy.,against,in favour of,in favour of,in favour of
126, bigger financial resources for frontex and military action in syria will stop immigration.,we should strengthen frontex and control immigration.,in favour of,in favour of,in favour of,in favour of
127,"referendums provide an unreliable view, as the general public may have less knowledge about certain issues so they can be swayed in any direction by the politicians through aggressive speeches, false data, etc. and the lack of knowledge will leave no other choice for the people than to believe those facts.",referendums are good for the society.,against,against,in favour of,against
128,children in foster care lack stability.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
129,public defenders should not be mandatory because it will affect peoples cases since they can physical tell them your story.,the use of public defenders should be mandatory.,against,against,in favour of,against
130,"why should anyone be told they cannot deny something even if it happened?  freedom of speech, surely.",holocaust denial should be a criminal offence.,against,against,against,against
131,"public defenders already have an overwhelming work load, making their use mandatory will cripple the criminal justice system.",the use of public defenders should be mandatory.,against,against,in favour of,against
132,vowing to be celibate doesn't ensure that someone will keep that vow because he or she are the only ones who will know that it has been kept.,the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
133,we should subsidize vocational education because everyone relies on skilled tradespeople.,we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
134,payday loans can wire people that need money fast the money they need.,payday loans should be banned.,against,against,against,in favour of
135,people should be free to believe what they want to believe about it.,holocaust denial should be a criminal offence.,against,against,against,against
136,if television was abandoned millions of people would be made unemployed.,we should abandon television.,against,against,in favour of,against
137,a person's opinions are the beliefs of that individual and the freedom of one's thoughts should not be infringed upon.,holocaust denial should be a criminal offence.,against,against,against,against
138,television causes obesity in children as it prevents them from being active.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
139,holocaust denial  is offensive to jewish people.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
140,the kids do not get the proper socialization and may have more trouble moving on to college educationally and socially.,homeschooling should be banned.,in favour of,in favour of,in favour of,in favour of
141,entrapment can be a useful tool in proving that someone is guilty of a crime when traditional methods have failed.,entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
142,foster care gives kids who would otherwise not have any parental figures in their lives have a chance at a somewhat normal life.,foster care brings more harm than good.,against,against,against,against
143,"social media often shows people at their best and looking their best, this can lead to feelings of inadequacy for those viewing.",social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
144,"sounds a little xenophobic. there is no concept of indigenous or aborigenous population in europe, the only criteria is citizenship.",we should not forget about indigenous europeans.,against,against,in favour of,against
145,the gaza strip is still a hotspot for violence and the blockade should remain.,blockade of the gaza strip should be ended.,against,against,in favour of,in favour of
146,"entrapment should be legalized in order to specifically go after people who target children or other vulnerable groups, who would be hard to catch otherwise.",entrapment should be legalized.,in favour of,in favour of,in favour of,in favour of
147,"yes, you need to make workers aware of what they can really spend, no borrowing.",payday loans should be banned.,in favour of,in favour of,in favour of,against
148,"homeopathic remedies have been shown to be beneficial in many illnesses, reducing the length of the common cold.",homeopathy brings more harm than good.,against,against,in favour of,against
149,"intelligence tests bring more good than harm because they let teachers identify gifted students who might otherwise go unnoticed because they are shy, esl, or otherwise do not stand out at first.",intelligence tests bring more harm than good.,against,against,against,in favour of
150,entrapment should not be legalized because there will be an absue of such power and just about anyone can be arrested.,entrapment should be legalized.,against,against,in favour of,against
151,"couples have the right to explore options for starting a family, and if a third party is willing and able to consent surrogacy should be an option.",surrogacy should be banned.,against,against,against,against
152,"nuclear energy is undoubtedly the best form of electricity production, massive and controllable, with no co²/ghg emissions. .",we should invest in nuclear energy.,in favour of,in favour of,in favour of,in favour of
153,it should be a criminal offense because of the horrible factual documented suffering that occurred & it should not be trivialized & lied about.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
154,it is our responsibility to stop cruelty against animals. article 48 of the indian constitution mentions that the state should take steps in prohibiting the slaughter of cattle. many slaughterhouses are still not following the rules to not harass the animals while killing. animals are subjected to intense suffering at most slaughterhouses.,cattle slaughter should be banned.,in favour of,in favour of,in favour of,in favour of
155,people spend too much time watching television at the cost of more active pursuits.,we should abandon television.,in favour of,in favour of,in favour of,in favour of
156,"vocational schools teach students - in a relatively short amount of time - professions that have high earning potential. in two years or less, graduates can already be working and making money.",we should subsidize vocational education.,in favour of,in favour of,in favour of,in favour of
157,"payday loans have such a high rate of interest that many people have to take out another loan to pay off the first, leaving them in an endless loop of debt.",payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
158,social media brings long distance family together and keeps them in contact for years to come rather than only through family reunions.,social media brings more harm than good.,against,against,against,against
159,vocational education is unhelpful traditional learning should be encouraged.,we should subsidize vocational education.,against,against,in favour of,in favour of
160,law enforcement should not create a situation to encourage people to commit crimes that they would not have committed under normal circumstances.,entrapment should be legalized.,against,against,in favour of,against
161,the gaza strip blockade is a method to protect the people in gaza and aids in preventing an iranian takeover.,blockade of the gaza strip should be ended.,against,against,against,against
162,they help to identify gifted children and help parents to develop their children talents.,intelligence tests bring more harm than good.,against,against,against,against
163,it's not proven that it actually works and might cause people who have problems to get worse.,homeopathy brings more harm than good.,in favour of,in favour of,in favour of,in favour of
164,teaching someone that the holocaust never happened when it did could cause people to be shunned or even hurt just because someone told them untrue information.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
165,homeopathy if not used correctly for many ailments could make them worse.,homeopathy brings more harm than good.,in favour of,in favour of,against,in favour of
166,intelligence tests can prevent someone from pursuing their passion which they may be able to achieve with hard work.,intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,against
167,celibacy vows are a choice that people should be allowed to make.,the vow of celibacy should be abandoned.,against,against,against,against
168,"as of 2019, india is importing crude oil for 82% of its oil requirement. by using electric vehicles, we can reduce the dependence on other countries for oil imports.",india should transition to electric vehicles.,in favour of,in favour of,in favour of,in favour of
169,"if you want to save birds, you perhaps should think about domesticated cats and making modern buildings more bird-friendly. if you want to save insects, look at the way of land use and agriculture, and create insect-friendly gardens.","wind and solar energy resources have harmful impacts on flying species, fauna and flora in general, and even insects.",against,against,in favour of,against
170,these payday loan places prey on poor people and situations where they can charge more.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
171,"killing innocent people, including kids for years must be stopped and all world should be ashamed to watch and to know that and do nothing.",blockade of the gaza strip should be ended.,in favour of,in favour of,in favour of,in favour of
172,"holocaust denial spreads harmful misinformation that creates an unsafe environment for minorities, especially jewish people.",holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
173,surrogacy should be banned because too it is often impossible for the surrogate to separate herself from the newborn.,surrogacy should be banned.,in favour of,in favour of,in favour of,in favour of
174,foster care has mostly bought medical problems to the children and lead to many deaths.,foster care brings more harm than good.,in favour of,in favour of,in favour of,in favour of
175,"testing anxiety can bias the results, leading to inaccurate results.",intelligence tests bring more harm than good.,in favour of,in favour of,in favour of,in favour of
176,homeschooling should not be banned because it is a right for parents to educate their children in their comfort of home.,homeschooling should be banned.,against,against,against,against
177,"social media is a great way to stay in touch with friends for everywhere, it allows you to meet like minded people and to develop new hobbies and interests with help from others wherever they are in the world.",social media brings more harm than good.,against,against,against,against
178,people believe it is helping when it is not.,homeopathy brings more harm than good.,in favour of,in favour of,against,in favour of
179,it is dangerous to deny crimes as abhorrent as those of the holocaust.,holocaust denial should be a criminal offence.,in favour of,in favour of,in favour of,in favour of
180,"a rethinking of current agricultural practices, in particular a serious reduction in pesticide usage and its substitution with more sustainable, ecologically-based practices, is urgently needed to slow or reverse current trends, allow the recovery of declining insect populations, and safeguard the vital ecosystem services they provide. .",we should put in place policies for the protection of insects.,in favour of,in favour of,in favour of,in favour of
181,"the overwhelming experience shows that in care and health, decentralized and deinstitutionalized systems perform better and spend less than a massive state apparatus.",foster care brings more harm than good.,against,in favour of,in favour of,in favour of
182,payday loans should not be banned because it can help out in emergency situations.,payday loans should be banned.,against,against,against,against
183,social media provides support for emotional issues.,social media brings more harm than good.,against,against,against,against
184,"celibacy is an unnatural state; when sex drive is repressed, it can manifest in dangerous ways.",the vow of celibacy should be abandoned.,in favour of,in favour of,in favour of,in favour of
185,they prey on the poor and charge astronomic interest.,payday loans should be banned.,in favour of,in favour of,in favour of,in favour of
186,"for minor health issues, homeopathy provides relief.",homeopathy brings more harm than good.,against,against,against,against
187,surrogacy provides a family with a child and nothing is better than that.,surrogacy should be banned.,against,against,against,against
188,nuclear energy simply is too expensive and hence economically not viable.,we should promote the use of nuclear energy.,against,against,in favour of,against
189,people who use payday loans already have little to no other options. it's wrong to take the only thing away someone can use in an emergency. it could mean life or death depending on the situation.,payday loans should be banned.,against,against,in favour of,in favour of
190,parents are free to educate their children how they see fit.,homeschooling should be banned.,against,against,against,against
191,i contest because the founding of each children's iq benefit them actually so parents or educators can proper put these kids in a design classroom or seek extra help to tackle their specific weaknesses.,intelligence tests bring more harm than good.,against,against,in favour of,against
192,"if a person can afford someone other that a public defend, then that should be their choice.  why should taxpayers pay for an attorney when a person can pay for one themselves.",the use of public defenders should be mandatory.,against,against,in favour of,in favour of
193,the nations of europe are the most responsible for the state of the global climate and we need to take the responsibility.,we should reduce environment pollution by limiting number of people in europe.,against,in favour of,in favour of,in favour of
194,it instill a culture of selfish self importance.,social media brings more harm than good.,in favour of,in favour of,in favour of,in favour of
195,mandatory use of public defenders will raise the standard of the defenders and level the playing field.,the use of public defenders should be mandatory.,in favour of,in favour of,in favour of,in favour of
196,referendums force governments to do what the people actually want.,referendums are good for the society.,in favour of,in favour of,in favour of,in favour of
197,ending the blockade of the gaza strip will only serve to destabilize the region further.,blockade of the gaza strip should be ended.,against,against,in favour of,against
198,saying no to any migration is just stupid and irrealistic.,we should not have any immigration from non-european or non first-world countries .,in favour of,against,in favour of,against
199,"japan was a global superpower once just behind the usa, however, it has a strict immigration policy. where is it now in global power rankings?.",we should not have any immigration from non-european or non-first-world countries .,against,in favour of,in favour of,in favour of
